Question,Category,Sub Category,Tags,Difficulty,Question Type,Time Limit,Choice1,Choice2,Choice3,Choice4,Correct Answer,Solution,Hint,Score,Negative Score,Partial Score,Status,Passage
What is <h3>2 + 2</h3>?,Quant,Arithmetic,addition,easy,Multichoice,30,one,two,three,four,four,2+2=4,Basic math,1,0,0,Active,
Which are prime numbers?,Quant,Arithmetic,prime,medium,Multi Multichoice,45,two,three,four,five,two|three|five,Prime numbers are divisible by 1 and itself,Check divisibility,2,0.5,1,Draft,
Which is a vowel?,English,Grammar,vowels,easy,Multichoice Anycorrect,20,U,B,E,G,U|E,A and E are vowels,Think alphabets,1,0,0,Inactive,
Arrange ascending order,Quant,Numbers,ordering,easy,Sequence,40,thousand,three,four,hundred,three|four|hundred|thousand,Sorted ascending,Small to big,2,0,0,Active,
Earth is round,GK,Science,fact,easy,True/False,15,TRUE,FALSE,,,TRUE,Fact,General knowledge,1,0,0,Active,
Define polymorphism,Programming,OOP,concept,medium,Short Answer,60,,,,,Ability of object to take many forms,OOP concept,Think OOP,2,0,0,Active,
Match countries to capitals,GK,Geography,match,medium,Matching,60,India-Delhi,USA-Washington,UK-London,Japan-Tokyo,India-Delhi|USA-Washington|UK-London|Japan-Tokyo,Correct pairs,Capital cities,3,0,0,Active,
Drag correct items to category,GK,General,drag,medium,Drag & Drop,60,Apple-Fruit,Car-Vehicle,Mango-Fruit,Rose-Flower,All correct,Categorization,Basic grouping,3,0,0,Active,
Select range between 1-10,Quant,Numbers,range,easy,Range,20,-10,20,,,"""01-10""",Range selection,Between values,1,0,0,Active,
2 + __ = 5,Quant,Arithmetic,fill,easy,Fill in the Blanks,20,,,,,3,2+3=5,Addition,1,0,0,Active,
__ + __ = 10,Quant,Arithmetic,fill,easy,Multi Blanks,30,,,,,5|5,5+5=10,Think pairs,2,0,0,Active,
HTML stands for <i>[blank]</i>,Programming,Web,html,easy,Inline Blank,25,,,,,HyperText Markup Language,Full form,Web basics,1,0,0,Active,
Match the following pairs,GK,General,match,medium,Matching,45,raju-ravi,shive-sreenu,ranga-raju,kiran-keshav,,,Simple match,2,0,0,Active,
Match items to multiple categories,GK,General,multi-match,medium,Multi Matching,60,Apple-Fruit|Healthy,Car-Vehicle|Transport,Dog-Animal|Pet,Rose-Flower|Plant,,Items can belong to multiple categories,Think multiple properties,3,0,1,Active,
